ld,paper,origin_chamber,snum,title,committee,final_disposition,governor_action,chaptered_law,chapter,became_law,last_house_action,last_senate_action,sponsor_count,action_count,roll_call_count,amendment_count,ps_url,lawmaker_summary_url
1008,HP0655,House,132,An Act to Require the Attorney General to Seek Legislative Approval Before Filing Any Civil Suit on Behalf of the State and to Authorize Citizen-initiated Petitions to Move for Dismissal,Judiciary,"Accepted Majority (ONTP) Report, May 21, 2025",,,,False,"5/20/2025 - Reports READ . On motion of Representative KUHN of Falmouth, the Majority Ought Not to Pass Report was ACCEPTED . Sent for concurrence. ORDERED SENT FORTHWITH.",5/21/2025 - Reports Read On motion by Senator CARNEY of Cumberland the Majority Ought Not to Pass Report ACCEPTED in concurrence. Placed in Legislative Files (DEAD),1,5,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0655,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0655&SessionID=16
1009,HP0656,House,132,An Act to Restore Full Civil Rights to Possess Firearms to Persons Previously Convicted of Certain Nonviolent Felonies,Judiciary,"Died On Adjournment, Apr 29, 2026",,,,False,"4/14/2026 - Speaker laid before the House Subsequently, motion of Representative PERKINS of Dover-Foxcroft to suspend the rules for the purpose of reconsideration FAILED . ROLL CALL NO. 818 (Yeas 76 - Nays 68 - Absent 6 - Excused 0 - Vacant 1) Subsequently, the Bill was PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),8,11,4,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0656,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0656&SessionID=16
1010,HP0657,House,132,An Act to Amend the State's Vehicle Inspection Law by Requiring Inspections Biennially,Transportation,"Accepted Majority (ONTP) Report, Jun 2, 2025",,,,False,"6/2/2025 - Reports READ . On motion of Representative CRAFTS of Newcastle, the Majority Ought Not to Pass Report was ACCEPTED . Sent for concurrence. ORDERED SENT FORTHWITH.",6/2/2025 - Reports Read On motion by Senator NANGLE of Cumberland the Majority Ought Not to Pass Report ACCEPTED in concurrence. Placed in Legislative Files (DEAD),8,5,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0657,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0657&SessionID=16
1011,SP0428,Senate,132,An Act to Change the Residency Requirements for State Funding for Student Tuition at the Maine School of Science and Mathematics,Education and Cultural Affairs,"Accepted Majority (ONTP) Report, Jun 3, 2025",,,,False,"6/3/2025 - Reports READ . On motion of Representative MURPHY of Scarborough, the Majority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )","6/2/2025 - Taken from the table by the President Subsequently, The Majority Ought Not To Pass Report ACCEPTED PREVAILED Roll Call Ordered Roll Call Number 296 Yeas 19 - Nays 14 - Excused 1 - Absent 1 Sent down for concurrence",5,14,1,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0428,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0428&SessionID=16
1012,SP0429,Senate,132,An Act to Fund the Operations of the University of Maine Cooperative Extension Tick Laboratory,Veterans and Legal Affairs,"Enacted, Jan 11, 2026","Unsigned, Jan 11, 2026","ACTPUB, Chapter 536",536,True,6/25/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,7/8/2025 - HELD BY THE GOVERNOR.,3,14,2,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0429,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0429&SessionID=16
1013,SP0430,Senate,132,An Act to Protect Taxpayers by Requiring Referenda on Significant Municipal Debt,State and Local Government,"Died Between Houses, May 22, 2025",,,,False,5/22/2025 - The House INSISTED on ACCEPTANCE of the Minority Ought Not to Pass Report. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD ),"5/20/2025 - On motion by Senator PIERCE of Cumberland The Senate INSISTED on ACCEPTANCE of the Majority Ought to Pass As Amended by Committee Amendment ""A"" (S-72) Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-72) Sent down for concurrence",1,6,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0430,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0430&SessionID=16
1014,SP0431,Senate,132,An Act to Authorize a General Fund Bond Issue to Develop Maine Talent and Innovation by Improving the Infrastructure of the University of Maine System,Appropriations and Financial Affairs,"Died On Adjournment, Apr 29, 2026",,,,False,None,4/29/2026 - Died in Possession of the Committee Upon Conclusion of the 132nd Legislature and PLACED IN THE LEGISLATIVE FILES ( DEAD ).,10,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0431,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0431&SessionID=16
1015,SP0432,Senate,132,An Act to Require a Minimum of 2 Persons on a Crew for the Operation of Freight Trains,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, May 20, 2025",,,,False,None,5/20/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0432,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0432&SessionID=16
1016,SP0433,Senate,132,An Act to Establish the Manufactured Housing Community and Mobile Home Park Preservation and Assistance Fund,Housing and Economic Development,"Enacted, Jun 20, 2025","Signed, Jun 20, 2025","ACTPUB, Chapter 398",398,True,6/11/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/12/2025 - PASSED TO BE ENACTED , in concurrence.",1,10,3,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0433,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0433&SessionID=16
1017,SP0434,Senate,132,An Act to Include Food Provided or Served at Emergency Shelters in General Assistance Reimbursement,Health and Human Services,"Died On Adjournment, Apr 29, 2026",,,,False,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,8,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0434,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0434&SessionID=16
1018,SP0435,Senate,132,An Act to Protect Health Care for Rural and Underserved Areas by Prohibiting Discrimination by Participants in a Federal Drug Discount Program,"Health Coverage, Insurance and Financial Services","Died On Adjournment, Jun 25, 2025",,,,False,6/16/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,6/25/2025 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0435,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0435&SessionID=16
1019,SP0436,Senate,132,An Act to Provide Funding for Fort McClary,"Agriculture, Conservation and Forestry","Ought Not to Pass Pursuant To Joint Rule 310, Apr 15, 2025",,,,False,None,4/15/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),3,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0436,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0436&SessionID=16
1020,SP0437,Senate,132,An Act to Repeal the Laws Providing for the Construction of a Connector to Gorham and to Resell Land Taken Under Those Laws to Previous Property Owners,Transportation,"Accepted Majority (ONTP) Report, Jun 13, 2025",,,,False,"6/13/2025 - Reports READ . On motion of Representative CRAFTS of Newcastle, the Majority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )","6/13/2025 - Reports READ Motion by Senator NANGLE of Cumberland to ACCEPT the Minority Ought to Pass As Amended Report FAILED Roll Call Ordered Roll Call Number 498 Yeas 16 - Nays 17 - Excused 2 - Absent 0 Subsequently, The Majority Ought Not To Pass Report ACCEPTED Sent down for concurrence",8,4,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0437,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0437&SessionID=16
1021,SP0439,Senate,132,An Act to Remove Certain Cost-of-living Adjustment Restrictions for Retired Members of the Law Enforcement Bargaining Unit Who Are 65 Years of Age or Older,Labor,"Died On Adjournment, Apr 29, 2026",,,,False,"6/4/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. FAILED PASSAGE TO BE ENACTED . ROLL CALL NO. 315 (Yeas 82 - Nays 63 - Absent 6 - Excused 0)",4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),6,8,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0439,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0439&SessionID=16
1022,SP0440,Senate,132,An Act to Protect and Increase Access to Justice in Civil Legal Matters for Persons with Low Incomes,Judiciary,"Died On Adjournment, Apr 29, 2026",,,,False,"5/27/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. FAILED PASSAGE TO BE ENACTED . ROLL CALL NO. 180 (Yeas 78 - Nays 65 - Absent 8 - Excused 0) Sent for concurrence. ORDERED SENT FORTHWITH.",4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),9,9,3,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0440,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0440&SessionID=16
1023,SP0441,Senate,132,"Resolve, to Reestablish the Blue Economy Task Force to Support Maine's Emergence as a Center for Blue Economy Innovation and Opportunity in the 21st Century",Housing and Economic Development,"Finally Passed, Jul 1, 2025","Signed, Jul 1, 2025","RESLV, Chapter 114",114,True,6/25/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/25/2025 - FINALLY PASSED , in concurrence.",9,10,1,3,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0441,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0441&SessionID=16
1024,SP0442,Senate,132,An Act to Expand the List of Crimes That Do Not Qualify for Immunity Under Maine's Good Samaritan Laws Concerning Drug-related Medical Assistance,Criminal Justice and Public Safety,"Accepted Report A (ONTP), May 29, 2025",,,,False,"5/29/2025 - Reports READ . On motion of Representative HASENFUS of Readfield, REPORT A Ought Not to Pass was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",5/28/2025 - Reports Read. On motion by Senator BEEBE-CENTER of Knox Report A Ought Not to Pass ACCEPTED. PREVAILED. Roll Call Ordered Roll Call Number 250 Yeas 21 - Nays 13 - Excused 1 - Absent 0 Sent down for concurrence.,5,4,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0442,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0442&SessionID=16
1025,SP0443,Senate,132,An Act to Allow Federal Civil Service to Count for Purposes of Maine Public Employees Retirement System Benefits,Labor,"Enacted, Jun 9, 2025","Signed, Jun 9, 2025","ACTPUB, Chapter 206",206,True,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0443,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0443&SessionID=16
1026,SP0444,Senate,132,An Act to Provide Mapping Services for Aquaculture Lease Siting,Marine Resources,"Ought Not to Pass Pursuant To Joint Rule 310, Feb 3, 2026",,,,False,None,2/3/2026 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),8,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0444,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0444&SessionID=16
1027,SP0445,Senate,132,An Act to Strengthen the Law Regarding Relief for Improvident Transfers of Title,Judiciary,"Enacted, Jun 12, 2025","Signed, Jun 12, 2025","ACTPUB, Chapter 279",279,True,6/9/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/9/2025 - PASSED TO BE ENACTED , in concurrence.",10,6,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0445,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0445&SessionID=16
1028,SP0446,Senate,132,"Resolve, to Establish the Task Force to Study Equitable Access to Maternal Health Care and Birthing Facilities",Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 29, 2025",,,,False,None,4/29/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),10,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0446,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0446&SessionID=16
1029,SP0447,Senate,132,An Act to Ensure General Assistance for Housing Does Not Reduce Assistance for Other Basic Necessities and to Increase Presumptive Eligibility and State Reimbursement for General Assistance,Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, May 22, 2025",,,,False,None,5/22/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),10,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0447,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0447&SessionID=16
1030,HP0659,House,132,An Act Regarding the Reporting of Medical Debt on Consumer Reports,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0659,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0659&SessionID=16
1031,HP0660,House,132,An Act to Allow Time-share Associations to Charge Credit Card Surcharges,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0660,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0660&SessionID=16
1032,HP0661,House,132,An Act Regarding Court Security,Judiciary,"Died Between Houses, Jun 11, 2025",,,,False,"6/10/2025 - The House INSISTED on ACCEPTANCE of the Minority Ought to Pass as Amended Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (H-467) ORDERED SENT FORTHWITH.","6/11/2025 - Taken from the table by the President Motion by Senator STEWART of Aroostook to INSIST and ASKED for a COMMITTEE OF CONFERENCE FAILED Roll Call Ordered Roll Call Number 456 Yeas 16 - Nays 17 - Excused 2 - Absent 0 Subsequently, the Senate INSISTED whereby The Majority Ought Not To Pass report was READ AND ACCEPTED . Placed in Legislative Files (DEAD.)",10,7,4,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0661,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0661&SessionID=16
1033,HP0662,House,132,An Act to Regulate Alcoholic Beverage Competitions,Veterans and Legal Affairs,"Enacted, Jun 15, 2025","Unsigned, Jun 15, 2025","ACTPUB, Chapter 315",315,True,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",5,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0662,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0662&SessionID=16
1034,HP0663,House,132,An Act to Decriminalize Personal Possession of Therapeutic Amounts of Psilocybin for Adults,Criminal Justice and Public Safety,"Enactment Failed, Jun 10, 2025",,,,False,"6/9/2025 - Speaker laid before the House Subsequently, the Bill FAILED PASSAGE TO BE ENACTED . ROLL CALL NO. 381 (Yeas 72 - Nays 74 - Absent 3 - Excused 2) Sent for concurrence. ORDERED SENT FORTHWITH.",6/10/2025 - FAILED PASSAGE TO BE ENACTED in concurrence. Roll Call Ordered Roll Call Number 433 Yeas 16 - Nays 16 - Excused 3 - Absent 0 Placed in Legislative Files (DEAD),9,9,4,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0663,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0663&SessionID=16
1035,HP0664,House,132,"Resolve, to Study the Safe Disposal of Single-use Propane Canisters",Environment and Natural Resources,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.","4/8/2025 - Pursuant to Joint Rule 310.3, Placed in Legislative Files ( DEAD ).",7,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0664,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0664&SessionID=16
1036,HP0665,House,132,An Act to Protect Recipients of Public Assistance from Housing Discrimination,Housing and Economic Development,"Died Between Houses, Jun 9, 2025",,,,False,6/9/2025 - The House INSISTED on ACCEPTANCE of the Majority Ought to Pass Report and PASSAGE TO BE ENGROSSED ORDERED SENT FORTHWITH.,6/9/2025 - On motion by Senator PIERCE of Cumberland The Senate INSISTED on ACCEPTANCE of The Minority Ought Not To Pass Report. Placed in Legislative Files (DEAD),10,6,1,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0665,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0665&SessionID=16
1037,HP0666,House,132,An Act to Lower the Energy Burden of Residents by Advancing Climate Change Goals,Environment and Natural Resources,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 17, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/17/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0666,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0666&SessionID=16
1038,HP0667,House,132,An Act to Increase the Maximum Term of a Medical Cannabis Written Certification to 2 Years,Veterans and Legal Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),10,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0667,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0667&SessionID=16
1039,HP0668,House,132,An Act Regarding Municipal Authority over Heavy Vehicle Operation,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 17, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/17/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0668,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0668&SessionID=16
1040,HP0669,House,132,An Act to Raise the Cap on Retirement Benefits for Certain State Employees and Teachers to Which a Cost-of-living Adjustment Is Made,Labor,"Died On Adjournment, Apr 29, 2026",,,,False,5/20/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0669,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0669&SessionID=16
1041,HP0670,House,132,An Act to Preserve Affordability in Publicly Assisted Housing Developments,Housing and Economic Development,"Enacted, Jun 20, 2025","Signed, Jun 20, 2025","ACTPUB, Chapter 381",381,True,6/17/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/17/2025 - PASSED TO BE ENACTED , in concurrence.",10,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0670,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0670&SessionID=16
1042,HP0671,House,132,An Act to Require a Person Operating a Watercraft for Recreational Purposes to Ensure All Children Under 13 Years of Age Wear United States Coast Guard Approved Personal Flotation Devices,Inland Fisheries and Wildlife,"Enacted, May 29, 2025","Signed, May 29, 2025","ACTPUB, Chapter 148",148,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/27/2025 - PASSED TO BE ENACTED , in concurrence.",3,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0671,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0671&SessionID=16
1043,HP0672,House,132,An Act to Provide Free Admission to State Parks and Historic Sites for the Immediate Family Members of Veterans and Active Military Personnel,"Agriculture, Conservation and Forestry","Died On Adjournment, Apr 29, 2026",,,,False,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),6,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0672,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0672&SessionID=16
1044,HP0673,House,132,An Act to Clarify the Qualifying Use of Tax Increment Financing for Extension of a Development District,Taxation,"Enacted, Jun 18, 2025","Signed, Jun 18, 2025","ACTPUB, Chapter 356",356,True,6/13/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/13/2025 - PASSED TO BE ENACTED , in concurrence.",7,6,2,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0673,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0673&SessionID=16
1045,HP0674,House,132,An Act to Expand the Use of Tax Increment Financing District Revenue by Adding Public Safety as an Authorized Project Cost,Taxation,"Leave to Withdraw, May 20, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/20/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),6,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0674,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0674&SessionID=16
1046,HP0675,House,132,An Act to Establish a 180-day State Residency Requirement for Receiving Municipal General Assistance,Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 30, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/30/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),10,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0675,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0675&SessionID=16
1047,HP0676,House,132,An Act to Impose an Additional Tax on Certain Unearned Income,Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, May 28, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/28/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),10,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0676,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0676&SessionID=16
1048,HP0677,House,132,An Act to Require Certain Notice Requirements for Whistleblower Protections,"Energy, Utilities and Technology","Enacted, Jun 22, 2025","Unsigned, Jun 22, 2025","ACTPUB, Chapter 407",407,True,6/10/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/10/2025 - PASSED TO BE ENACTED , in concurrence.",2,6,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0677,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0677&SessionID=16
1049,HP0678,House,132,An Act to Eliminate the Duty to Inform a Law Enforcement Officer When Carrying a Concealed Handgun Without a Permit,Judiciary,"Accepted Majority (ONTP) Report, Jun 13, 2025",,,,False,"6/12/2025 - Reports READ . On motion of Representative KUHN of Falmouth, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 458 (Yeas 85 - Nays 60 - Absent 4 - Excused 2) Sent for concurrence. ORDERED SENT FORTHWITH.",6/13/2025 - On motion by Senator CARNEY of Cumberland The Majority Ought Not To Pass Report ACCEPTED in concurrence Placed in Legislative Files (DEAD),8,4,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0678,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0678&SessionID=16
1050,HP0679,House,132,An Act to Allow an Adult Hunter to Transfer That Hunter's Antlerless Deer Permit to a Junior Hunter,Inland Fisheries and Wildlife,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0679,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0679&SessionID=16
1051,HP0680,House,132,An Act to Provide Funding to Maintain All-terrain Vehicle Trails,Inland Fisheries and Wildlife,"Ought Not to Pass Pursuant To Joint Rule 310, May 27, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/27/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0680,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0680&SessionID=16
1052,HP0681,House,132,"RESOLUTION, Proposing an Amendment to the Constitution of Maine to Establish the State Auditor as a Constitutional Officer",State and Local Government,"Died On Adjournment, Apr 29, 2026",,,,False,"6/10/2025 - This being a Constitutional Amendment, in accordance with the provisions of Section 4 of Article X of the Constitution, a two-thirds vote of the membership of the House present was necessary. FAILED FINAL PASSAGE . Sent for concurrence. ORDERED SENT FORTHWITH.",4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0681,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0681&SessionID=16
